system	surface	frame	state	role	status	source_path	repo_path	size_bytes	notes
amp	canonical		docking	primary		/data/Seafile/amp/docking/docking.inp	data/primary_calculations/canonical_surface/amp/docking/raw/docking.inp	118	docking provenance used for frame selection
amp	canonical		docking	primary	normal	/data/Seafile/amp/docking/docking.out	data/primary_calculations/canonical_surface/amp/docking/raw/docking.out	24579	docking provenance used for frame selection
amp	canonical		docking	primary		/data/Seafile/amp/docking/flower_ring.xyz	data/primary_calculations/canonical_surface/amp/docking/raw/flower_ring.xyz	9514	docking provenance used for frame selection
amp	canonical	frame11	initial	primary		/data/Seafile/amp/frames/frame11/frame11.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/initial/frame11.xyz	12026	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.bibtex	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.bibtex	4659	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.cpcm_corr	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.cpcm_corr	233992	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.densitiesinfo	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.densitiesinfo	1838	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.engrad	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.engrad	18324	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.inp	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.inp	586	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.opt	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.opt	127548	
amp	canonical	frame11	solvated	primary	normal	/data/Seafile/amp/frames/frame11/amp_frame11.out	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.out	5688486	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11.xyz	12247	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/amp_frame11_trj.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/amp_frame11_trj.xyz	269885	
amp	canonical	frame11	solvated	primary		/data/Seafile/amp/frames/frame11/frame11.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/solvated/frame11.xyz	12026	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11.xyz	12247	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.bibtex	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.bibtex	4334	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.densitiesinfo	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.densitiesinfo	1838	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.engrad	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.engrad	18324	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.inp	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.inp	578	
