system,surface,frame,state,State,Reason,Final_Bond_Order,Final_Si_Idx,Final_Intramol_Dist,Final_Intramol_HBond_Count,Final_Anchoring_Dist,Final_NH2_SurfaceO_Dist,Final_RiboseOH_SurfaceSilanol_Dist,Final_PhosphateO_SurfaceO_Dist,Final_PhosphateO_SurfaceSi_Dist,Final_PO_Siloxane_COM_Dist,out_file,xyz_file
amp,canonical,frame11,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.841991210436522,0,3.055740447418135,3.240301468251226,3.0858544710511016,3.055740447418135,3.7804147269715083,7.739951885008234,amp_frame11.out,amp_frame11_trj.xyz
amp,canonical,frame11,dry,Surface Anchored,"Nucleobase, ribose, or phosphate contact is within the surface anchoring distance",0.0,,4.843638998420392,0,2.8839080359094442,3.161650148217496,3.062287139921589,2.8839080359094442,3.4633254404690117,7.745022808946791,amp_frame11_dry.out,amp_frame11_dry_trj.xyz
amp,canonical,frame12,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.005940988991602,0,3.2183546484936123,3.407662881280882,4.207240538885243,3.2183546484936123,3.9818864760128405,7.366787001051047,amp_frame12.out,amp_frame12_trj.xyz
amp,canonical,frame12,dry,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.913 exceeds 0.50,0.913,15.0,2.635969355707795,1,2.403510397926417,3.24408320213556,5.2644874505884385,2.403510397926417,1.774078838107979,7.089438953706831,amp_frame12_dry.out,amp_frame12_dry_trj.xyz
amp,canonical,frame12,engrad_dry_first,Sterically Locked,Intramolecular ribose-phosphate contact persists without Si-O(phosphate) bond formation,0.0,,2.635122723483226,1,2.4014262693414556,3.242767146334129,5.240070850458884,2.4014262693414556,1.7740438128608003,7.090814366708477,amp_frame12.out,amp_frame12_dry_trj.xyz
amp,canonical,frame12,engrad_dry_first,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.913 exceeds 0.50,0.9133,15.0,2.635122723483226,1,2.4014262693414556,3.242767146334129,5.240070850458884,2.4014262693414556,1.7740438128608003,7.090814366708477,amp_frame12_dry.out,amp_frame12_dry_trj.xyz
amp,canonical,frame12,engrad_dry_first,Sterically Locked,Intramolecular ribose-phosphate contact persists without Si-O(phosphate) bond formation,0.0,,2.635122723483226,1,2.4014262693414556,3.242767146334129,5.240070850458884,2.4014262693414556,1.7740438128608003,7.090814366708477,amp_frame12_dry_engrad.out,amp_frame12_dry_trj.xyz
amp,canonical,frame12,r2scan,Covalently Condensed,Si-O(phosphate) Mayer bond order 0.896 exceeds 0.50,0.8965,15.0,4.394075872653049,0,2.3760233066484857,3.213441623990426,4.210931989606294,2.3760233066484857,1.7731249798328272,7.060455697561486,amp_frame12_dry_r2scan.out,amp_frame12_dry_r2scan_trj.xyz
amp,canonical,frame15,solvated,Free,"No covalent Si-P bond, steric lock, or close surface anchor detected",0.0,,4.872067357398387,0,3.2349274336048923,3.2349274336048923,3.3683436825489728,3.3377962625269486,3.999837061873137,7.047378497661196,amp_frame15.out,amp_frame15_trj.xyz
amp,aluminium,frame15,solvated,Sterically Locked,Intramolecular ribose-phosphate contact persists without Si-O(phosphate) bond formation,0.0,,2.5568940404171574,1,3.235293466855439,3.3005482284949546,3.6057029873802855,3.235293466855439,3.3611346622875775,6.824882486969698,amp_al_frame15.out,amp_al_frame15_trj.xyz
