#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
         0;          0.0;       ;   1630.19;          ;     343.36;    0.244654;   -13464.232853;   -13463.988200;                ;          
         1;          0.5;      6;   1233.66;    477.22;     344.89;    0.245744;   -13464.229331;   -13463.983587;   -13463.987774;      0.00
         2;          1.0;      6;   1182.45;    467.45;     343.45;    0.244716;   -13464.220920;   -13463.976204;   -13463.987604;      0.11
         3;          1.5;      6;   1079.96;    476.31;     336.44;    0.239726;   -13464.209617;   -13463.969891;   -13463.987405;      0.24
         4;          2.0;      6;   1188.73;    440.93;     312.09;    0.222377;   -13464.198285;   -13463.975908;   -13463.987250;      0.34
         5;          2.5;      7;   1297.07;    443.15;     287.91;    0.205145;   -13464.189407;   -13463.984262;   -13463.987235;      0.35
         6;          3.0;      7;   1296.31;    442.88;     276.61;    0.197091;   -13464.183436;   -13463.986345;   -13463.987356;      0.27
         7;          3.5;      7;   1281.22;    464.79;     267.47;    0.190580;   -13464.178912;   -13463.988331;   -13463.987490;      0.18
         8;          4.0;      6;   1212.50;    429.87;     268.07;    0.191010;   -13464.173767;   -13463.982757;   -13463.987528;      0.16
         9;          4.5;      6;   1214.86;    476.70;     269.14;    0.191773;   -13464.166362;   -13463.974589;   -13463.987565;      0.14
        10;          5.0;      6;   1174.89;    470.75;     254.69;    0.181475;   -13464.155932;   -13463.974457;   -13463.987507;      0.17
        11;          5.5;      7;   1254.95;    474.31;     247.86;    0.176608;   -13464.143608;   -13463.966999;   -13463.987368;      0.26
        12;          6.0;      6;   1189.82;    447.27;     234.78;    0.167288;   -13464.131232;   -13463.963945;   -13463.987211;      0.37
        13;          6.5;      6;   1219.70;    426.03;     224.49;    0.159958;   -13464.121312;   -13463.961354;   -13463.987080;      0.45
        14;          7.0;      6;   1259.75;    441.83;     224.47;    0.159941;   -13464.115536;   -13463.955595;   -13463.987039;      0.48
        15;          7.5;      7;   1346.80;    476.18;     217.64;    0.155078;   -13464.114152;   -13463.959075;   -13463.987245;      0.34
        16;          8.0;      7;   1240.94;    492.74;     226.27;    0.161224;   -13464.115570;   -13463.954346;   -13463.987372;      0.26
        17;          8.5;      6;   1152.19;    466.21;     246.74;    0.175807;   -13464.117665;   -13463.941858;   -13463.987338;      0.28
        18;          9.0;      6;   1210.04;    437.15;     251.92;    0.179504;   -13464.118679;   -13463.939174;   -13463.987405;      0.24
        19;          9.5;      6;   1196.63;    481.40;     253.40;    0.180555;   -13464.117317;   -13463.936762;   -13463.987384;      0.25
        20;         10.0;      6;   1232.23;    485.76;     251.12;    0.178928;   -13464.114110;   -13463.935182;   -13463.987275;      0.32
        21;         10.5;      6;   1166.07;    481.35;     249.25;    0.177597;   -13464.110880;   -13463.933283;   -13463.987138;      0.41
        22;         11.0;      6;   1199.10;    426.70;     260.72;    0.185771;   -13464.109710;   -13463.923939;   -13463.987059;      0.46
        23;         11.5;      6;   1210.94;    428.53;     267.91;    0.190892;   -13464.111584;   -13463.920692;   -13463.987097;      0.44
        24;         12.0;      6;   1237.33;    466.30;     273.20;    0.194661;   -13464.115656;   -13463.920995;   -13463.987231;      0.35
        25;         12.5;      6;   1203.10;    492.13;     287.55;    0.204889;   -13464.119718;   -13463.914829;   -13463.987386;      0.25
        26;         13.0;      6;   1198.59;    487.61;     309.19;    0.220311;   -13464.121436;   -13463.901125;   -13463.987489;      0.19
        27;         13.5;      6;   1185.25;    461.23;     324.10;    0.230930;   -13464.119159;   -13463.888228;   -13463.987495;      0.18
        28;         14.0;      6;   1224.05;    468.43;     321.77;    0.229272;   -13464.112669;   -13463.883397;   -13463.987398;      0.24
        29;         14.5;      6;   1259.64;    465.22;     311.85;    0.222201;   -13464.103683;   -13463.881483;   -13463.987227;      0.36
        30;         15.0;      6;   1217.07;    486.77;     302.33;    0.215423;   -13464.095063;   -13463.879640;   -13463.987053;      0.47
        31;         15.5;      6;   1205.45;    491.40;     297.01;    0.211630;   -13464.089443;   -13463.877813;   -13463.986962;      0.53
        32;         16.0;      7;   1197.30;    413.25;     309.36;    0.220428;   -13464.087947;   -13463.867518;   -13463.987010;      0.50
        33;         16.5;      6;   1171.22;    472.53;     307.89;    0.219380;   -13464.089463;   -13463.870084;   -13463.987155;      0.40
        34;         17.0;      7;   1293.69;    475.53;     303.99;    0.216600;   -13464.091296;   -13463.874696;   -13463.987373;      0.26
        35;         17.5;      6;   1137.28;    478.94;     320.78;    0.228568;   -13464.090478;   -13463.861910;   -13463.987464;      0.20
        36;         18.0;      7;   1292.58;    491.14;     324.67;    0.231341;   -13464.085115;   -13463.853775;   -13463.987493;      0.18
        37;         18.5;      7;   1250.91;    486.74;     316.64;    0.225614;   -13464.074955;   -13463.849341;   -13463.987326;      0.29
        38;         19.0;      6;   1175.18;    480.75;     303.96;    0.216582;   -13464.062467;   -13463.845885;   -13463.987089;      0.44
        39;         19.5;      6;   1252.83;    445.77;     288.36;    0.205469;   -13464.051511;   -13463.846042;   -13463.986858;      0.60
        40;         20.0;      6;   1217.64;    463.44;     289.49;    0.206271;   -13464.045660;   -13463.839389;   -13463.986778;      0.65
        41;         20.5;      6;   1252.77;    474.98;     294.50;    0.209839;   -13464.045813;   -13463.835975;   -13463.986901;      0.57
        42;         21.0;      6;   1197.41;    493.43;     308.37;    0.219720;   -13464.049833;   -13463.830113;   -13463.987146;      0.41
        43;         21.5;      6;   1206.40;    483.62;     328.98;    0.234410;   -13464.053711;   -13463.819301;   -13463.987376;      0.26
        44;         22.0;      7;   1244.30;    476.47;     332.62;    0.237004;   -13464.053613;   -13463.816609;   -13463.987468;      0.20
        45;         22.5;      7;   1186.43;    417.26;     328.23;    0.233875;   -13464.047742;   -13463.813867;   -13463.987373;      0.26
        46;         23.0;      7;   1309.71;    488.29;     315.11;    0.224526;   -13464.037124;   -13463.812598;   -13463.987148;      0.41
        47;         23.5;      6;   1202.99;    431.82;     306.84;    0.218632;   -13464.025065;   -13463.806433;   -13463.987013;      0.49
        48;         24.0;      7;   1266.79;    489.92;     299.81;    0.213624;   -13464.014929;   -13463.801305;   -13463.986641;      0.74
